,mean,std
Channel_101,25.147566001899524,0.43934481082617455
Channel_102,24.65478666992817,0.03924237786244427
Channel_103,24.688818253505254,0.040182658878450295
Channel_104,25.0849358487037,0.447305076636568
Channel_105,33.32321253074074,0.16277778153594055
Channel_106,0.1159725173388889,0.001994728579282957
Channel_107,0.08567233235629629,0.002193431084077851
Channel_108,1.5031151569629628,0.0031352625499202883
Channel_201,35.215050649852,9.709719027866532
Channel_202,39.22617995743776,13.50766506536376
Channel_203,39.41138071699655,13.39097695090474
Channel_208,32.98011892112738,7.604422095322294
Channel_209,37.523744998093804,11.522324788027644
Channel_210,34.4384481948562,8.819959986228245
